,price,price_adj,vol,amt,statu,f_cap,t_cap
20071212,35.05,35.05,91538.07,297023.7807,1.0,,
20071213,34.5,34.5,64208.06,222601.0978,-1.0,,
20071214,32.38,32.38,28125.48,92172.1254,-1.0,,
20071217,32.3,32.3,20392.59,65674.5575,-1.0,,
20071218,29.43,29.43,17951.01,55134.2505,-1.0,,
20071219,30.1,30.1,13852.48,41498.3806,-1.0,,
20071220,30.73,30.73,8485.32,25971.1173,-1.0,,
20071221,32.1,32.1,11326.75,35462.4358,-1.0,,
20071224,32.01,32.01,17281.65,56037.8502,-1.0,,
20071225,33.35,33.35,16222.67,52905.1417,-1.0,,
20071226,33.65,33.65,11939.49,39929.3388,-1.0,,
20071227,33.78,33.78,14679.48,50187.3228,-1.0,,
20071228,32.86,32.86,9831.6,32429.7278,-1.0,,
20080102,33.01,33.01,8224.02,27053.8786,-1.0,,
20080103,33.31,33.31,11103.18,36871.7203,-1.0,,
20080104,32.76,32.76,9030.1,29512.5767,-1.0,,
20080107,32.26,32.26,10061.99,32167.1863,-1.0,,
20080108,31.96,31.96,7027.88,22470.7461,-1.0,,
20080109,34.55,34.55,17236.1,57595.6831,-1.0,,
20080110,33.8,33.8,11627.94,39543.8165,-1.0,,
20080111,33.98,33.98,8951.8,30497.1832,-1.0,,
20080114,34.5,34.5,11081.11,38616.02,-1.0,,
20080115,34.61,34.61,9293.01,31956.0862,-1.0,,
20080116,33.61,33.61,7864.58,26727.5467,-1.0,,
20080117,35.36,35.36,15447.52,53347.1244,-1.0,,
20080118,36.26,36.26,21306.34,77511.896,-1.0,,
20080121,33.49,33.49,10761.55,37759.6747,-1.0,,
20080122,30.14,30.14,9359.86,29155.0629,-1.0,,
20080123,30.89,30.89,11056.74,33429.1195,-1.0,,
20080124,31.6,31.6,9026.35,27934.9489,-1.0,,
20080125,30.6,30.6,5822.53,18056.4622,-1.0,,
20080128,27.54,27.54,7256.73,20607.2166,-1.0,,
20080129,27.69,27.69,3201.6,8887.6229,-1.0,,
20080130,28.35,28.35,3432.41,9658.9614,-1.0,,
20080131,28.33,28.33,4633.51,13304.3146,-1.0,,
20080201,26.44,26.44,4353.74,11641.5314,-1.0,,
20080204,28.8,28.8,5236.58,14578.6402,-1.0,,
20080205,28.86,28.86,3683.05,10523.925,-1.0,,
20080213,28.25,28.25,2154.89,6133.3746,-1.0,,
20080214,29.0,29.0,2127.55,6136.5978,-1.0,,
20080215,28.58,28.58,1507.43,4298.75,-1.0,,
20080218,29.5,29.5,2900.53,8496.5853,-1.0,,
20080219,29.78,29.78,2365.08,7008.6541,-1.0,,
20080220,29.08,29.08,3834.85,11372.7713,-1.0,,
20080221,29.1,29.1,2393.37,6911.7253,-1.0,,
20080222,28.02,28.02,3419.5,9641.2967,-1.0,,
20080225,26.7,26.7,2981.4,8095.1802,-1.0,,
20080226,27.8,27.8,2928.84,8017.4257,-1.0,,
20080227,28.8,28.8,4523.33,12939.8831,-1.0,,
20080228,28.8,28.8,3057.5,8818.6247,-1.0,,
20080229,29.39,29.39,2352.02,6835.7991,-1.0,,
20080303,29.98,29.98,3538.03,10549.9603,-1.0,,
20080304,29.2,29.2,4132.74,12167.1272,-1.0,,
20080305,28.61,28.61,2241.42,6419.8027,-1.0,,
20080306,29.06,29.06,3019.8,8840.4665,-1.0,,
20080307,28.12,28.12,2112.17,5995.2466,-1.0,,
20080310,27.55,27.55,2243.49,6197.8123,-1.0,,
20080311,27.8,27.8,1833.74,5052.0943,-1.0,,
20080312,26.3,26.3,19118.89,51694.1976,-1.0,1450.0,5740.0
20080313,25.03,25.03,8120.06,20575.882,-1.0,1450.0,5740.0
20080314,25.21,25.21,3146.71,7908.6964,-1.0,1450.0,5740.0
20080317,23.57,23.57,3588.34,8719.6422,-1.0,1450.0,5740.0
20080318,22.0,22.0,4911.24,11188.1951,-1.0,1450.0,5740.0
20080319,22.8,22.8,3996.83,9067.4401,-1.0,1450.0,5740.0
20080320,23.68,23.68,5239.79,11838.9066,-1.0,1450.0,5740.0
20080321,23.68,23.68,0.0,0.0,0.0,1450.0,5740.0
20080324,23.3,23.3,3001.53,7136.1826,-1.0,1450.0,5740.0
20080325,23.62,23.62,3162.61,7448.8882,-1.0,1450.0,5740.0
20080326,24.15,24.15,4075.5,9946.0235,-1.0,1450.0,5740.0
20080327,23.07,23.07,3346.8,7876.0901,-1.0,1450.0,5740.0
20080328,23.55,23.55,3006.06,6948.0984,-1.0,1450.0,5740.0
20080331,22.66,22.66,2683.41,6145.2167,-1.0,1450.0,5740.0
20080401,20.7,20.7,3397.32,7291.2695,-1.0,1450.0,5740.0
20080402,18.96,18.96,3998.98,7872.28,-1.0,1450.0,5740.0
20080403,19.85,19.85,2671.96,5143.1402,-1.0,1450.0,5740.0
20080407,21.33,21.33,4594.23,9633.6088,-1.0,1450.0,5740.0
20080408,21.55,21.55,3620.47,7770.7398,-1.0,1450.0,5740.0
20080409,20.2,20.2,2869.09,6014.6658,-1.0,1450.0,5740.0
20080410,20.67,20.67,2048.49,4148.0902,-1.0,1450.0,5740.0
20080411,21.25,21.25,2129.19,4488.8229,-1.0,1450.0,5740.0
20080414,19.75,19.75,2779.43,5578.4654,-1.0,1450.0,5740.0
20080415,20.33,20.33,2140.39,4248.3704,-1.0,1450.0,5740.0
20080416,19.71,19.71,1939.2,3886.5978,-1.0,1450.0,5740.0
20080417,18.9,18.9,2426.9,4702.293,-1.0,1450.0,5740.0
20080418,18.19,18.19,2177.26,4015.7586,-1.0,1450.0,5740.0
20080421,18.31,18.31,2795.12,5243.8911,-1.0,1450.0,5740.0
20080422,18.1,18.1,2726.81,4801.0656,-1.0,1450.0,5740.0
20080423,18.75,18.75,2433.65,4472.7043,-1.0,1450.0,5740.0
20080424,20.6,20.6,10351.61,20986.7706,-1.0,1450.0,5740.0
20080425,20.54,20.54,7373.08,15189.7779,-1.0,1450.0,5740.0
20080428,20.1,20.1,3525.69,7107.2502,-1.0,1450.0,5740.0
20080429,20.35,20.35,2616.59,5320.3382,-1.0,1450.0,5740.0
20080430,21.6,21.6,6763.06,14323.1952,-1.0,1450.0,5740.0
20080505,22.41,22.41,5648.04,12358.2144,-1.0,1450.0,5740.0
20080506,21.88,21.88,4490.17,9879.6196,-1.0,1450.0,5740.0
20080507,20.53,20.53,5438.69,11604.8973,-1.0,1450.0,5740.0
20080508,21.69,21.69,6194.42,13083.458,-1.0,1450.0,5740.0
20080509,21.38,21.38,5641.26,12111.4954,-1.0,1450.0,5740.0
20080512,21.38,21.38,0.0,0.0,0.0,1450.0,5740.0
20080513,22.1,22.1,7024.89,15336.5814,-1.0,1450.0,5740.0
20080514,22.56,22.56,6019.7,13516.4444,-1.0,1450.0,5740.0
20080515,22.07,22.07,5485.81,12273.9274,-1.0,1450.0,5740.0
20080516,21.9,21.9,3980.16,8707.0098,-1.0,1450.0,5740.0
20080519,23.12,23.12,8120.31,18489.382,-1.0,1450.0,5740.0
20080520,22.0,22.0,8760.23,20031.5237,-1.0,1450.0,5740.0
20080521,22.39,22.39,6043.42,13097.06,-1.0,1450.0,5740.0
20080522,22.19,22.19,4362.32,9706.5241,-1.0,1450.0,5740.0
20080523,21.4,21.4,4439.62,9581.9057,-1.0,1450.0,5740.0
20080526,15.7,20.51,4674.43,7353.9776,4.0,1885.0,7462.0
20080527,15.73,20.55,1968.8,3073.5354,-1.0,1885.0,7462.0
20080528,15.9,20.77,2879.15,4522.7485,-1.0,1885.0,7462.0
20080529,15.06,19.68,2457.0,3803.796,-1.0,1885.0,7462.0
20080530,15.77,20.6,7615.34,12254.1761,-1.0,1885.0,7462.0
20080602,15.56,20.33,3017.0,4683.5724,-1.0,1885.0,7462.0
20080603,15.93,20.81,3677.86,5879.6321,-1.0,1885.0,7462.0
20080604,15.83,20.68,1691.74,2664.6764,-1.0,1885.0,7462.0
20080605,16.22,21.19,2465.18,3960.6597,-1.0,1885.0,7462.0
20080606,16.7,21.82,8400.69,14185.7735,-1.0,1885.0,7462.0
20080610,15.03,19.64,5565.59,8602.9617,-1.0,1885.0,7462.0
20080611,15.16,19.81,3200.01,4818.9306,-1.0,1885.0,7462.0
20080612,15.03,19.64,2695.13,4019.2526,-1.0,1885.0,7462.0
20080613,15.45,20.18,9043.87,14147.0623,-1.0,1885.0,7462.0
20080616,16.2,21.16,6596.23,10008.5587,-1.0,1885.0,7462.0
20080617,17.27,22.56,31978.14,54622.9594,-1.0,1885.0,7462.0
20080618,17.3,22.6,22600.46,38684.337,-1.0,1885.0,7462.0
20080619,15.57,20.34,12580.35,20803.2387,-1.0,1885.0,7462.0
20080620,14.79,19.32,13645.57,20579.1663,-1.0,1885.0,7462.0
20080623,13.32,17.4,10043.13,13963.0476,-1.0,1885.0,7462.0
20080624,13.46,17.59,6017.69,7991.8694,-1.0,1885.0,7462.0
20080625,13.9,18.16,5693.62,7879.7077,-1.0,1885.0,7462.0
20080626,14.34,18.73,5421.92,7667.4776,-1.0,1885.0,7462.0
20080627,13.12,17.14,5665.15,7615.0159,-1.0,1885.0,7462.0
20080630,13.68,17.87,4805.77,6481.848,-1.0,1508.0,7462.0
20080701,13.56,17.72,1926.21,2622.0864,-1.0,1508.0,7462.0
20080702,13.66,17.85,2129.75,2932.9502,-1.0,1508.0,7462.0
20080703,14.31,18.7,4635.31,6502.6675,-1.0,1508.0,7462.0
20080704,14.74,19.26,8340.67,12359.2182,-1.0,1508.0,7462.0
20080707,15.12,19.75,6511.43,9758.1201,-1.0,1508.0,7462.0
20080708,15.15,19.79,4287.52,6446.2577,-1.0,1508.0,7462.0
20080709,15.45,20.18,6285.15,9649.3719,-1.0,1508.0,7462.0
20080710,15.16,19.81,4317.22,6647.4338,-1.0,1508.0,7462.0
20080711,14.92,19.49,4531.37,6752.2235,-1.0,1508.0,7462.0
20080714,14.92,19.49,3233.15,4798.6787,-1.0,1508.0,7462.0
20080715,14.55,19.01,3239.54,4869.0322,-1.0,1508.0,7462.0
20080716,13.88,18.13,3654.13,5173.6457,-1.0,1508.0,7462.0
20080717,13.9,18.16,3494.6,4898.2715,-1.0,1508.0,7462.0
20080718,14.3,18.68,2830.79,3949.8981,-1.0,1508.0,7462.0
20080721,15.1,19.73,5430.86,8056.1605,-1.0,1508.0,7462.0
20080722,15.0,19.6,3400.0,5132.6077,-1.0,1508.0,7462.0
20080723,14.85,19.4,3461.79,5172.9147,-1.0,1508.0,7462.0
20080724,15.06,19.68,3318.24,4991.8475,-1.0,1508.0,7462.0
20080725,15.26,19.94,6452.59,9939.8838,-1.0,1508.0,7462.0
20080728,15.36,20.07,4071.19,6236.6885,-1.0,1508.0,7462.0
20080729,14.99,19.58,2766.37,4150.7234,-1.0,1508.0,7462.0
20080730,14.85,19.4,2325.74,3479.5285,-1.0,1508.0,7462.0
20080731,14.41,18.83,2740.7,3998.934,-1.0,1508.0,7462.0
20080801,14.5,18.94,2167.42,3105.3586,-1.0,1508.0,7462.0
20080804,14.25,18.62,1880.9,2677.9362,-1.0,1508.0,7462.0
20080805,14.0,18.29,1695.35,2387.8257,-1.0,1508.0,7462.0
20080806,13.92,18.19,1497.73,2103.2518,-1.0,1508.0,7462.0
20080807,13.94,18.21,2214.1,3066.6235,-1.0,1508.0,7462.0
20080808,12.81,16.74,2323.8,3094.471,-1.0,1508.0,7462.0
20080811,12.01,15.69,4103.87,5011.0845,-1.0,1508.0,7462.0
20080812,12.0,15.68,1812.72,2182.9902,-1.0,1508.0,7462.0
20080813,12.39,16.19,3051.68,3677.6889,-1.0,1508.0,7462.0
20080814,12.25,16.0,660.91,810.9511,-1.0,1508.0,7462.0
20080815,12.13,15.85,925.25,1135.0462,-1.0,1508.0,7462.0
20080818,11.59,15.14,2433.2,2924.1806,-1.0,1508.0,7462.0
20080819,11.8,15.42,1336.62,1570.0336,-1.0,1508.0,7462.0
20080820,12.72,16.62,3494.68,4360.3029,-1.0,1508.0,7462.0
20080821,12.1,15.81,2439.8,3004.1942,-1.0,1508.0,7462.0
20080822,11.95,15.61,1091.73,1308.8121,-1.0,1508.0,7462.0
20080825,11.98,15.65,1147.99,1387.729,-1.0,1508.0,7462.0
20080826,11.26,14.71,1396.99,1610.8098,-1.0,1508.0,7462.0
20080827,11.64,15.21,3015.21,3450.0063,-1.0,1508.0,7462.0
20080828,11.36,14.84,966.4,1102.2293,-1.0,1508.0,7462.0
20080829,11.67,15.25,1226.62,1415.158,-1.0,1508.0,7462.0
20080901,11.33,14.8,953.21,1081.998,-1.0,1508.0,7462.0
20080902,11.39,14.88,371.59,421.3087,-1.0,1508.0,7462.0
20080903,11.3,14.76,846.36,950.8105,-1.0,1508.0,7462.0
20080904,11.49,15.01,1514.7,1729.449,-1.0,1508.0,7462.0
20080905,11.0,14.37,1468.01,1627.9406,-1.0,1508.0,7462.0
20080908,10.07,13.16,1544.3,1603.957,-1.0,1508.0,7462.0
20080909,10.17,13.29,880.4,887.0873,-1.0,1508.0,7462.0
20080910,10.38,13.56,1382.3,1423.0287,-1.0,1508.0,7462.0
20080911,9.97,13.03,1860.31,1866.2989,-1.0,1508.0,7462.0
20080912,10.26,13.4,2061.66,2087.4213,-1.0,1508.0,7462.0
20080916,9.96,13.01,2039.4,2062.5533,-1.0,1508.0,7462.0
20080917,9.55,12.48,1315.5,1289.6761,-1.0,1508.0,7462.0
